,Tweets,,,
1,"Just spoke to H.E. President 
@RTErdogan
 to express our profound condolences & prayers at the human & material losses in the earthquake. I told the  President that Pakistan would do anything to help their Turkish brothers & sisters during this challenging time.",,,
2,I welcome Supreme Court taking suo motu notice of the murder of journalist Arshad Sharif. I had already written a letter to Honorable Chief Justice of Pakistan for setting up a Judicial Commission to probe the murder. The government will extend full cooperation to the Court.,,,
3,"I convey my heartfelt condolences to the government and the brotherly people of Türkiye  on the loss of precious lives & damage to the infrastructure due to the floods in the earthquake-affected regions. 

Prayers for the early recovery of the injured.",,,
4,"The increasing incidence of HIV & Aids among the children & adolescents is deeply worrying. I urge Ministry of Health to focus on awareness about testing, prevention & treatment to fight scourge. On World Aids Day today, let us all vow to end the stigma attached with HIV.",,,
5,"At High-Level Segment of #COP27, I presented flood devastation in Pakistan as an example of what climate change can do to a country. I drew the attention of the global leaders to the need for bridging massive financing gaps, inclusion of loss & damage in the agenda.",,,
6,"About 300 including 124 people from Balochistan have lost lives in the floods. Although there is no compensation for huaman life, the federal govt is paying Rs. 10 lakh to every household of the deceased. I have also ordered increase in financial assistance for damaged houses",,,
7,Our non-Muslim citizens are an integral part of our national fabric. Today we celebrate their valuble contributions & thank them for their service to the country. Our founding fathers envisaged Pakistan as a pluralistic society in which all are equal citizens of the state.,,,
8,"My brother H.E. President 
@RTErdogan
 highlights the need for the continued international assistance to help Pakistan deal with the disastrous floods. We thank the President for his consistent support for rights of Kashmiris of IIOJK.   #UNGA",,,
9,میرے بھائی اور دیرینہ ساتھی پرویز ملک کو ہم سےبچھڑے آج ایک سال بیت گیا۔ وہ نہایت قابل بھروسہ، معاملہ فہم اور زیرک انسان تھے۔انہوں نےجس طرح پاکستان مسلم لیگ ن اور میاں نواز شریف کا ساتھ نبھایا وہ پارٹی کے ساتھ وابستگی اور وفا کی انمول داستان ہے۔ان کی خدمات ہمیشہ یاد رکھی جائیں گی۔,,,
10,"Islamic Development Bank is the largest contributor to over $9 billion pledged at the conference. We are extremely grateful to the IDB Board & member countries for their kind gesture of committing $ 4.2 billion, which will help us significantly in our reconstruction efforts.",,,
11,"I extend my congratulations to Her Excellency 
@trussliz
 on her appointment as Prime Minister of the United Kingdom. The UK is Pakistan's time-tested friend and one of our largest trading & development partners. I am keen to work with her to further promote our historic relations.",,,
12,Deeply sad to learn about the loss of precious lives & damage due to flooding in brotherly Afghanistan. I urge the international community to help the already suffering Afghan people on emergency basis. Pakistan will also extend it's assistance to our Afghan brothers & sisters.,,,
13,"Least Developed Countries have been badly affected by climate change, post-pandemic & geo-strategic disruption in food & energy supply chains. These global events have left them vulnerable. LDCs will be better served by putting welfare of people at the center of public policy 2/2",,,
14,"I am highly grateful to my brother H.E. President Erdogan 
@RTErdogan
 for his kind message of solidarity at Resilient Pakistan Conference. He personally led Türkiye’s rescue & relief efforts for the flood-affected people of Pakistan. We greatly acknowledge ’s contributions.",,,
15,Energy imports are the biggest item on our import bill. Pakistan cannot ensure its economic security through heavy reliance on energy imports whose prices have increased sharply. Massive Thar coal reserves offer a grand window of opportunity & they occupy top place on our agenda.,,,
16,"On behalf of the people & government of Pakistan, I wish to extend our profound felicitations to H.H. Sheikh Nawaf Al-Ahmad Al-Jaber Al-Sabah, the Amir & people of the State of Kuwait  on their National Day. We  are keen to further build on our excellent bilateral relations.",,,
17,"Pakistan joins the global community today in observing Earth Hour & demonstrating its commitment to the fulfilment of its obligations to climate change actions. Saving our planet from the ill-effects of climate change is a collective endeavour, one in which everyone matters.",,,
