,Tweets,label
0,Episode 25 of the  SeriesReconnecting with RevelationMufti Menk,religious
1,FULL GOING UNDERGROUND INTERVIEW: Ex-Prime Minister Imran Khan:  Entering The WORST FORM of Fascism!     ,political
2,"Almighty. On this blessed day, we pray that you have Mercy on us; take away the suffering all around us and bring on the recovery. We know there is no cure but Your cure. Heal our hearts and purify our souls so we can feel a strong attachment to You. Aameen.",religious
3,My decision to ban import of luxury items will save the country precious foreign exchange. We will practice austerity & financially stronger people must lead in this effort so that the less privileged among us do not have to bear this burden inflicted on them by the PTI govt.,political
4,"Mora than 100h, and Azhar Mashwani still couldn’t be produced in any court, still no FIR has been presented. immediately!!",political
5,Our Social media team member from Karachi  has gone missing. This morning he left his house for his workplace & there is no contact with him since then. Smells like another case of abduction on PTI activists.,political
6,My msg to Pak cricket team today is the same I gave our team in the 1992 World Cup Final. First: enjoy the day as one rarely gets to play in a World Cup final & don't get overawed by it. Second: you will win if you are willing to take risks & can cash in on mistakes by opponents;,political
7,Allah knows. Don’t fret because perhaps the delay in answering your prayer is better for you. Trust Allah to get you out of the situation when the time is right.,religious
8,"Isn't destruction of our democracy, Constitution & nation's morality a fit case for Suo Moto action? Are the ""Neutrals"" not realising how our beloved country is literally being destroyed on all fronts by the Imported govt brought in through US regime change conspiracy?",political
9,"Not able to. All their energies are focused on NRO-2 and its conservation. So, despite the poor state of the economy, they are afraid to hold these elections, which are the only key to stabilize the economy through political stability.",political
10,Wow  … thank you Naseem for such an amazing finish ,political
11,"Today, on the occasion of Navy Day, the entire nation pays tribute to the sacrifices made by the Pakistan Navy to protect the maritime borders of Pakistan. The Indian port of Dwarka was captured during the Ghazi Submarine War.",political
12,"Today, Eid Day is more than a special day, a special occasion, an unprecedented unity and unity. Today is not a day to hug, it is a day to unite the nation and smile together. My heartfelt Eid greetings to all Pakistanis and all Muslims living in the world of Islam",political
13,"The Election Commission did justice in the Toshakhana reference. The nation has seen that the post of Prime Minister has been made a source of personal income through corrupt practices. The idol of ""honesty and trust"" was shattered. Instead of fighting the law, shooting, firing sticks / bringing riotous groups, bow before the law. No one is above the law.",political
14,"Why are the elite boomers so afraid of the rise of ?The answer is simple. They are confronting an existential threat to the political discourse they  forged for the past 70 years to benefit them and their generations.For them, how can this ""nobody"" address thousands. (1/3)",political
15,Don’t be obsessed with things that went wrong or didn’t work out. That’s life in a nutshell. Keep going. You’ll never win this race of life if you keep looking back. The mistakes you’ve made don’t define who you are today. Think positive that things will get better.,religious
16,"Pain is part of life. Embrace it. Live it. It helps you grow. Remember, the pain is temporary but the lesson lasts for a long time if not a lifetime.",religious
17,Imran Khan's 10-point program to revive Pakistan's economy:1. Bringing Pakistani investment abroad 2. Enabling exports 3. Tourism 4. Minerals 5. Small and Medium Industries 6. Agriculture 7. Reorganization of major cooperation 8. Enlarging the tax net 9. Prevention of Money Laundering (Rule of Law)… Show more,political
18,Impressive show by PTI in lahore! ,political
19,"Tomorrow I will be leading a rally after Maghrib, from China chowk to F9 Park, in support of Dr Gill & in protest against the torture inflicted on him. We will also be protesting against muzzling of Ary simply bec Ary didn't toe the official line & gave coverage to our narrative.",political
20,Message for CJP and the like minded judges,political
21,Don't try to win the approval of people. You'll never succeed. That's why pleasing people should never be your priority or goal. Please your Creator.,religious
22,Some people refuse to accept the fact that you’ve changed for the better. They keep harping on the “old” you. They refuse to see you in a new light. They can’t stop talking about your past mistakes and wrongs. Ignore such people. Time to move on.,religious
23,Keep praying. Pray for those who love you. Pray for those who hate you. Pray for those who try to harm you. Why? Because prayer is the most precious gift you can give someone and a good prayer may soften their heart and lead them to be guided. Imagine the rewards that await you.,religious
24,You may wake today thinking it’s going to be the most difficult day to get through. But the Almighty knows you’ll get by just fine. The pain will ease and the hurt will pass. It’s because nothing lasts in this world. He has promised better days ahead.,religious
25,"All our workers that have been jailed by this govt of criminals, today we will not only approach the courts but also int human right organisations. We will ask all PTI chapters abroad to approach their local elected reps & politicians to inform them of the fascism going on in Pak",political
26,"During my visit to Balochistan, I met Assistant Commissioner Mach Ayesha Zehri and the officials and workers of NHA who are working diligently and diligently to restore highways, public works and infrastructure after the flood. You all are the heroes of the nation and the entire nation including me is proud of you",political
27,We welcome this development. My govt had taken an initiative to bring KSA & Iran together for dialogue as part of our policy of wider engagement for peace & for unity of the Ummah. We appreciate China's role in this diplomatic breakthrough.,political
28,"Good things take time. Stay patient and stay positive. Everything is going to come together- maybe not today, but eventually.",religious
29,Being positive doesn't mean you choose to ignore life's problems. It means you think good about Allah and trust that He will make a way out for you if you do your best.,religious
30,NRO 1 cost this nation dearly. The loot & plunder of these two crooked families & their associates increased our debt four times in ten years. NRO2 is even more shameful. Rs 1100 billion corruption cases are being given immunity. Daylight robbery!,political
31,How long is this dual system?,political
32,"Soften our hearts for . Renew our link with the Almighty & celebrate revelation of the greatest message from our Lord. For a blessed month that's bountiful with deeds, start repenting sincerely. Commit to change for the better & discard old habits.",religious
33,"One day, you too will do Hajj ",religious
34,"Ramadan in 60 days!Oh Allah, Let Us Reach Ramadan.",religious
35,Episode 29 of the  SeriesReconnecting with RevelationMufti Menk,religious
36,Dua can change everything in a blink.,religious
